Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,74.00931871175143,759936472.9103471,759936398.9010284
1,74.00931871175143,118.27923872837752,44.26992001662609
2,74.00931871175143,98.54810744129252,24.538788729541082
3,74.00931871175143,94.33047677797879,20.321158066227355
4,74.00931871175143,458.9769600699273,384.9676413581759
5,74.00931871175143,90.62148313515684,16.612164423405403
6,74.00931871175143,88.70755169302726,14.698232981275822
7,74.00931871175143,51.251863735463324,-22.75745497628811
8,74.00931871175143,62.92796957454209,-11.081349137209344
9,74.00931871175143,54.348350899851376,-19.660967811900058
10,74.00931871175143,59.06201263677943,-14.947306074972005
11,74.00931871175143,50.715694687836745,-23.29362402391469
12,74.00931871175143,59.071003924361165,-14.938314787390269
13,74.00931871175143,43.36061951782739,-30.648699193924045
14,74.00931871175143,43.151129008414166,-30.858189703337267
15,74.00931871175143,62.78097980547145,-11.22833890627998
16,74.00931871175143,57.180448412240835,-16.828870299510598
17,74.00931871175143,77.17884897658075,3.1695302648293193
18,74.00931871175143,81.01527284530118,7.00595413354975
19,74.00931871175143,85.25082110118827,11.241502389436832
20,74.00931871175143,69.33541994127091,-4.67389877048052
21,74.00931871175143,78.64536555221467,4.636046840463237
22,74.00931871175143,82.6809881310132,8.671669419261761
23,74.00931871175143,70.15246083602361,-3.856857875727826
24,74.00931871175143,98.86281621277153,24.8534975010201
25,74.00931871175143,79.45712325042977,5.447804538678341
26,74.00931871175143,128.2470683396848,54.23774962793337
27,74.00931871175143,78.85117197954882,4.84185326779739
28,74.00931871175143,241.20002829099133,167.1907095792399
29,74.00931871175143,84.28350192114405,10.274183209392618
30,74.00931871175143,305.2901179234246,231.28079921167316
31,74.00931871175143,83.82249293555115,9.81317422379972
32,74.00931871175143,95.55801109277806,21.548692381026626
33,74.00931871175143,128.13144708358502,54.12212837183358
