Layer,Router_Norm_Var,Router_Norm_Min,Router_Norm_Max,Router_Norm_Mean
0,1.610327124595642,0.9642540216445923,6.153421401977539,1.7129638195037842
1,0.16737283766269684,0.9266776442527771,2.5351357460021973,1.3099634647369385
2,0.46484363079071045,1.191156029701233,3.455232858657837,1.674423336982727
3,1.1743186712265015,1.3149737119674683,5.05928897857666,2.1413326263427734
4,0.36397430300712585,1.0805188417434692,2.905916690826416,1.6380608081817627
5,0.4076746702194214,0.8927336931228638,3.4409725666046143,1.5520744323730469
6,0.45993050932884216,0.8714460730552673,3.3737716674804688,1.482471227645874
7,1.0448040962219238,1.230002760887146,4.317225933074951,1.9943788051605225
8,0.2418484389781952,0.845009982585907,2.391730308532715,1.2782986164093018
9,0.14446145296096802,1.1219059228897095,2.4617793560028076,1.5046532154083252
10,0.04248308762907982,1.1700598001480103,1.9063812494277954,1.4260514974594116
11,0.14831164479255676,1.3469669818878174,2.6376092433929443,1.8381119966506958
12,0.06833788752555847,1.193799376487732,2.0274782180786133,1.5250144004821777
13,0.11688612401485443,1.5266295671463013,2.493293046951294,1.9951660633087158
14,0.15953609347343445,1.1867057085037231,2.663959264755249,1.7374072074890137
15,0.14555500447750092,1.0890663862228394,2.509202003479004,1.4847736358642578
16,0.1991375833749771,1.0754337310791016,2.6381309032440186,1.5670483112335205
17,0.024450989440083504,1.7374082803726196,2.345014810562134,2.009943962097168
18,0.026062821969389915,1.5839793682098389,2.203721046447754,1.8684022426605225
19,0.011957732029259205,1.40586256980896,1.8742804527282715,1.6012742519378662
20,0.07386410236358643,0.9178139567375183,2.0283567905426025,1.102623462677002
21,0.004490049090236425,1.568947672843933,1.836785078048706,1.747053623199463
22,0.007674028631299734,1.0411081314086914,1.318656086921692,1.1850380897521973
23,0.039409324526786804,0.9462301731109619,1.8204374313354492,1.1112223863601685
24,0.00672111613675952,1.2389893531799316,1.4864599704742432,1.410372018814087
25,0.006047176197171211,0.834282636642456,1.182489037513733,0.9053024649620056
26,0.0005221680621616542,0.5642722845077515,0.6544538736343384,0.5875859260559082
27,0.01862504705786705,0.4624626636505127,1.0329934358596802,0.5257772207260132
28,0.003343630814924836,0.9614258408546448,1.191470980644226,1.0036907196044922
29,0.001583833945915103,1.514391541481018,1.6621607542037964,1.5918866395950317
30,0.0015986564103513956,1.7596831321716309,1.9269946813583374,1.8028937578201294
31,0.016591865569353104,0.8871002197265625,1.3774584531784058,0.9567850828170776
