Layer,Attn_vs_MLP_Ratio
0,18.519885419474612
1,4.204992858862077
2,5.124328610418248
3,3.589023795488013
4,12.50029775622586
5,5.224390165928101
6,1.8543880130695631
7,4.545423334314834
8,2.720065505632407
9,4.599500680429455
10,0.6754107606228655
11,1.340252170139296
12,10.776857491900476
13,6.596287367463073
14,5.329957689727401
15,9.053797703219686
16,3.4801167816630234
17,3.287680203015242
18,7.679786256740667
19,3.680868278672209
20,8.707564315567204
21,8.063439664703926
22,3.166161930071927
23,7.197953559148773
24,7.807213483452312
25,9.526120170174897
26,3.7363552819772403
27,4.1644490318637235
28,4.432850394218503
29,3.3983014903098026
30,3.796908458467132
31,5.137684922133607
32,1.28850429073542
33,1.1258210588819286
