Layer,Router_Norm_Var,Router_Norm_Min,Router_Norm_Max,Router_Norm_Mean
0,1.6103260517120361,0.9642536640167236,6.153419017791748,1.7129631042480469
1,0.1673727184534073,0.9266773462295532,2.535134792327881,1.3099628686904907
2,0.4648434519767761,1.1911556720733643,3.4552319049835205,1.6744227409362793
3,1.1743183135986328,1.31497323513031,5.059288024902344,2.1413321495056152
4,0.36397436261177063,1.0805182456970215,2.905916690826416,1.6380603313446045
5,0.4076744019985199,0.8927333354949951,3.4409713745117188,1.5520739555358887
6,0.4599306285381317,0.8714455962181091,3.373771905899048,1.4824706315994263
7,1.0448039770126343,1.2300021648406982,4.317225456237793,1.9943783283233643
8,0.24184830486774445,0.8450096249580383,2.3917295932769775,1.2782981395721436
9,0.14446145296096802,1.1219055652618408,2.4617791175842285,1.5046526193618774
10,0.042483069002628326,1.170059323310852,1.906380534172058,1.4260509014129639
11,0.14831165969371796,1.3469667434692383,2.6376090049743652,1.8381112813949585
12,0.0683378353714943,1.1937990188598633,2.027477502822876,1.52501380443573
13,0.11688604950904846,1.526628851890564,2.4932920932769775,1.9951651096343994
14,0.15953604876995087,1.1867051124572754,2.6639585494995117,1.737406611442566
15,0.14555492997169495,1.0890660285949707,2.5092015266418457,1.4847731590270996
16,0.19913752377033234,1.0754332542419434,2.6381306648254395,1.5670477151870728
17,0.024450987577438354,1.7374073266983032,2.3450140953063965,2.0099432468414307
18,0.02606280893087387,1.5839784145355225,2.2037200927734375,1.8684011697769165
19,0.011957711540162563,1.4058618545532227,1.8742796182632446,1.601273536682129
20,0.07386405766010284,0.9178134799003601,2.0283560752868652,1.1026229858398438
21,0.004490050952881575,1.5689469575881958,1.8367841243743896,1.7470529079437256
22,0.00767402583733201,1.0411076545715332,1.3186556100845337,1.185037612915039
23,0.03940935432910919,0.9462295174598694,1.8204371929168701,1.1112220287322998
24,0.006721106823533773,1.238988995552063,1.486459493637085,1.4103716611862183
25,0.0060471780598163605,0.8342822194099426,1.1824886798858643,0.9053020477294922
26,0.0005221677129156888,0.5642720460891724,0.6544536352157593,0.5875857472419739
27,0.018625037744641304,0.46246248483657837,1.0329930782318115,0.5257769823074341
28,0.003343624295666814,0.9614253640174866,1.1914702653884888,1.003690242767334
29,0.0015838315011933446,1.5143908262252808,1.662160038948059,1.5918858051300049
30,0.0015986491926014423,1.759682297706604,1.926993489265442,1.8028926849365234
31,0.0165918730199337,0.8870996832847595,1.377458095550537,0.9567846655845642
