Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,46.379485081777155,292541.6246906434,292495.24520556163
1,46.379485081777155,4732.1384999935035,4685.759014911726
2,46.379485081777155,63.415345707878814,17.03586062610166
3,46.379485081777155,51.23821705673153,4.858731974954374
4,46.379485081777155,55.00498291715055,8.625497835373395
5,46.379485081777155,87.94177377817256,41.562288696395406
6,46.379485081777155,444.32535169991775,397.9458666181406
7,46.379485081777155,54.16923554693499,7.789750465157837
8,46.379485081777155,49.069366419495424,2.689881337718269
9,46.379485081777155,47.62742161208903,1.2479365303118755
10,46.379485081777155,45.831902141133476,-0.5475829406436787
11,46.379485081777155,51.3029275159246,4.9234424341474465
12,46.379485081777155,51.72116665560436,5.341681573827202
13,46.379485081777155,68.50522098575308,22.12573590397593
14,46.379485081777155,47.23238426999111,0.8528991882139536
15,46.379485081777155,65.78076578394631,19.401280702169153
16,46.379485081777155,71.03660632684206,24.657121245064907
17,46.379485081777155,83.58502831589132,37.20554323411417
18,46.379485081777155,51.87008056842607,5.490595486648914
19,46.379485081777155,51.4269565497949,5.047471468017747
20,46.379485081777155,51.72185722611439,5.342372144337233
21,46.379485081777155,60.20106474089316,13.821579659116004
22,46.379485081777155,71.43053204414521,25.051046962368055
23,46.379485081777155,350.21542600262103,303.8359409208439
