Layer,Baseline_PPL,Ablated_PPL,PPL_Degradation
0,39.680008920926696,15636.78276810261,15597.102759181684
1,39.680008920926696,17704.16977667524,17664.489767754312
2,39.680008920926696,53.65694832902511,13.976939408098417
3,39.680008920926696,48.659421909089424,8.979412988162728
4,39.680008920926696,44.975751217742506,5.29574229681581
5,39.680008920926696,68.09360233498589,28.413593414059193
6,39.680008920926696,639.9203376070573,600.2403286861306
7,39.680008920926696,41.76889245601,2.088883535083305
8,39.680008920926696,44.040269526202565,4.360260605275869
9,39.680008920926696,41.704312017007084,2.024303096080388
10,39.680008920926696,36.22331101455344,-3.4566979063732575
11,39.680008920926696,41.72513657824908,2.045127657322382
12,39.680008920926696,39.35004581728012,-0.3299631036465769
13,39.680008920926696,41.41590121230655,1.7358922913798551
14,39.680008920926696,34.73090160348046,-4.949107317446234
15,39.680008920926696,44.624980950876946,4.94497202995025
16,39.680008920926696,51.9732018732367,12.293192952310001
17,39.680008920926696,61.13197459851931,21.45196567759261
18,39.680008920926696,42.093677983194716,2.4136690622680206
19,39.680008920926696,38.443105523362696,-1.2369033975639994
20,39.680008920926696,41.7666246330954,2.086615712168701
21,39.680008920926696,54.44082387043518,14.760814949508486
22,39.680008920926696,60.268193576229855,20.58818465530316
23,39.680008920926696,483.42044874815576,443.74043982722907
