Layer,Router_Norm_Var,Router_Norm_Min,Router_Norm_Max,Router_Norm_Mean
0,0.01307414285838604,1.1033276319503784,1.696620225906372,1.3779956102371216
1,0.004656640347093344,1.030498743057251,1.3831838369369507,1.1515889167785645
2,0.0030287315603345633,0.9105333685874939,1.163438320159912,1.0449330806732178
3,0.005154895130544901,0.9259790778160095,1.4045982360839844,1.0620548725128174
4,0.0033047280739992857,0.8673591017723083,1.179091453552246,1.0060703754425049
5,0.003232889575883746,0.834808349609375,1.1210681200027466,0.9684816002845764
6,0.00207866751588881,0.745216429233551,0.9910593628883362,0.8586663603782654
7,0.0019394061528146267,0.788288414478302,1.0201741456985474,0.8905830979347229
8,0.0019137696363031864,0.7624563574790955,1.0204107761383057,0.8776020407676697
9,0.001876490656286478,0.7851310968399048,1.0415817499160767,0.896973729133606
10,0.0016532507725059986,0.7773904204368591,0.9542710185050964,0.8667313456535339
11,0.001036902773194015,0.7396372556686401,0.9074274897575378,0.8250384330749512
12,0.0012109820963814855,0.7157945036888123,0.8923900127410889,0.7975403070449829
13,0.0008624967886134982,0.6989411115646362,0.8401298522949219,0.7707754969596863
14,0.0011169870849698782,0.6443051695823669,0.8217874765396118,0.7266486883163452
15,0.0012119044549763203,0.6321322321891785,0.7820971012115479,0.7137235403060913
16,0.001559715485200286,0.5725353360176086,0.8154168128967285,0.7016361355781555
17,0.0012624277733266354,0.5932269096374512,0.7556144595146179,0.689073383808136
18,0.0013752591330558062,0.6382976174354553,0.7961905002593994,0.7220881581306458
19,0.0017954095965251327,0.5389081239700317,0.7458508610725403,0.6508047580718994
20,0.0014272707048803568,0.5162071585655212,0.7335293889045715,0.6267867088317871
21,0.0012020469876006246,0.5376080870628357,0.7054694890975952,0.6030017137527466
22,0.0017687524668872356,0.4638134241104126,0.6458442211151123,0.5648802518844604
23,0.0026710587553679943,0.4374578893184662,0.645363450050354,0.5581153035163879
