Layer,Outlier_IoU
MoE_Layer_0,0.19131910441815853
MoE_Layer_1,0.5127901490330696
MoE_Layer_2,0.7590724740028382
MoE_Layer_3,0.80231507396698
MoE_Layer_4,0.7865635538101197
MoE_Layer_5,0.7518196847438813
MoE_Layer_6,0.6573122823238373
MoE_Layer_7,0.756037635087967
MoE_Layer_8,0.7771194024085999
MoE_Layer_9,0.7953874020576477
MoE_Layer_10,0.7743051013946534
MoE_Layer_11,0.765834882736206
MoE_Layer_12,0.7475708932876587
MoE_Layer_13,0.7182508842945099
MoE_Layer_14,0.6971804741621017
MoE_Layer_15,0.7129330060482025
MoE_Layer_16,0.7016052339076996
MoE_Layer_17,0.6961208299398423
MoE_Layer_18,0.7236329292058945
MoE_Layer_19,0.7086027628183365
MoE_Layer_20,0.7119029885530472
MoE_Layer_21,0.6593217529058456
MoE_Layer_22,0.49275624054670336
MoE_Layer_23,0.1759300170391798
