Layer,Avg_Router_Entropy
MoE_Layer_0,2.7632566080093386
MoE_Layer_1,2.7683947920799254
MoE_Layer_2,2.766464439868927
MoE_Layer_3,2.4043406767845155
MoE_Layer_4,2.7544373116493226
MoE_Layer_5,2.69109556722641
MoE_Layer_6,2.5390228390693665
MoE_Layer_7,2.4773494114875794
MoE_Layer_8,1.447722773551941
MoE_Layer_9,1.452857300043106
MoE_Layer_10,2.42909686088562
MoE_Layer_11,1.6286606554985046
MoE_Layer_12,1.143592069387436
MoE_Layer_13,1.5066338248252868
MoE_Layer_14,0.519337249994278
MoE_Layer_15,0.36402649933099746
MoE_Layer_16,0.43743037259578704
MoE_Layer_17,0.33518025296926496
MoE_Layer_18,1.2523642301559448
MoE_Layer_19,1.0412963552474976
MoE_Layer_20,0.7653981155157089
MoE_Layer_21,1.9345617861747741
MoE_Layer_22,2.522229184150696
MoE_Layer_23,2.5719141397476197
MoE_Layer_24,2.5486987776756287
MoE_Layer_25,2.569718149662018
MoE_Layer_26,2.6973480372428895
MoE_Layer_27,2.651714066028595
MoE_Layer_28,2.6052495369911193
MoE_Layer_29,2.612849570274353
MoE_Layer_30,2.7098482031822204
MoE_Layer_31,2.70786958694458
