Layer,Variance_Shift
MoE_Layer_0,4.610290937185288
MoE_Layer_1,4.856755389690399
MoE_Layer_2,1.7782655324935912
MoE_Layer_3,1523.261780395508
MoE_Layer_4,2.162702518701553
MoE_Layer_5,17.336763518571853
MoE_Layer_6,1.3820838890075684
MoE_Layer_7,1.510112725496292
MoE_Layer_8,1.8652806606292724
MoE_Layer_9,2.407306589603424
MoE_Layer_10,41.07883056807518
MoE_Layer_11,1.1361881222724914
MoE_Layer_12,1.182680049419403
MoE_Layer_13,1.1670324976444244
MoE_Layer_14,1.2319309091567994
MoE_Layer_15,1.1093083908557893
MoE_Layer_16,1.1407269322872162
MoE_Layer_17,1.4920641083717345
MoE_Layer_18,1.0974503123760224
MoE_Layer_19,1.2417630581855774
MoE_Layer_20,1.190008151292801
MoE_Layer_21,1.220645382165909
MoE_Layer_22,1.099228532075882
MoE_Layer_23,1.192139298915863
MoE_Layer_24,1.2256061401367186
MoE_Layer_25,1.113448790550232
MoE_Layer_26,1.1132130675315857
MoE_Layer_27,1.1040861208438872
MoE_Layer_28,0.8636078530550003
MoE_Layer_29,1.1510463975667953
MoE_Layer_30,1.1937428575754165
MoE_Layer_31,1.7164461598396301
